VueTipKey;VueTipDescripcion;VueCatKey;VueCatDescripcion;OpeDsgKey;OpeKey;OpeDescripcion;OpeDsgDesignadorOACI;VueOpeVueloNumero;VueOpeMatricula;AerTipKey;AerTipDesignador;VueOpeOrigenArpKey;VueOpeAeropuertoOrigen;VueOpeDestinoArpKey;VueOpeAeropuertoDestino;VueOpeFecha;VueOpeFechaSalidaPlan;VueOpeHoraSalidaPlan;VueOpeFechaSalidaReal;VueOpeHoraSalidaReal;VueOpeFechaLlegadaPlan;VueOpeHoraLlegadaPlan;VueOpeFechaLlegadaReal;VueOpeHoraLlegadaReal;VueOpeNivel;VueOpeTD;VueOpeLP;VueOpeUsuarioC;VueOpeFechaC;VueOpeFechaHoraC;VueOpeAeropuertoC;VueOpeUsuarioM;VueOpeFechaM;VueOpeFechaHoraM;VueOpeAeropuertoM;ItiAutVueFchKey
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;5457;HP1910D;1;B752;0;MGGT;2;MHLM;31/01/2018;31/01/2018;1837;31/01/2018;1837;31/01/2018;1905;31/01/2018;1905;250;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;537;N520TA;1;A319;0;KMIA;2;MHLM;31/01/2018;31/01/2018;2139;31/01/2018;2139;31/01/2018;2236;31/01/2018;2236;330;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;378;N465UP;1;B752;0;KMIA;2;MHLM;31/01/2018;31/01/2018;1454;31/01/2018;1454;31/01/2018;1553;31/01/2018;1553;350;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;1434;N38257;1;B738;0;KIAH;4;MHRO;31/01/2018;31/01/2018;1826;31/01/2018;1826;31/01/2018;1854;31/01/2018;1854;330;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHRO;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;1488;N33266;1;B738;2;MHLM;0;KIAH;31/01/2018;31/01/2018;1942;31/01/2018;1942;31/01/2018;2009;31/01/2018;2009;360;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;1;NACIONAL;\N;\N;\N;PV;729;HRAYJ;1;AT76;4;MHRO;2;MHLM;31/01/2018;31/01/2018;1726;31/01/2018;1726;31/01/2018;1726;31/01/2018;1726;120;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHRO;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;674;XAALL;1;E190;0;MMMX;2;MHLM;31/01/2018;31/01/2018;1818;31/01/2018;1818;31/01/2018;1900;31/01/2018;1900;370;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;753;HRAYM;1;AT76;2;MHLM;0;MGGT;31/01/2018;31/01/2018;59;31/01/2018;59;31/01/2018;59;31/01/2018;59;160;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;145;HP1521;1;B737;1;MHTG;5;MROC;31/01/2018;31/01/2018;1926;31/01/2018;1926;31/01/2018;2015;31/01/2018;2015;390;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;711;TGTRC;1;AT72;1;MHTG;5;MROC;31/01/2018;31/01/2018;1730;31/01/2018;1730;31/01/2018;1730;31/01/2018;1730;170;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;1531;N70020;1;A319;1;MHTG;0;KMIA;31/01/2018;31/01/2018;2125;31/01/2018;2125;31/01/2018;2225;31/01/2018;2225;380;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;568;TGTRF;1;AT76;0;MSLP;1;MHTG;31/01/2018;31/01/2018;2030;31/01/2018;2030;31/01/2018;2030;31/01/2018;2030;150;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;504;N340NB;1;A319;2;MHLM;0;KATL;31/01/2018;31/01/2018;1945;31/01/2018;1945;31/01/2018;2013;31/01/2018;2013;370;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;1;NACIONAL;\N;\N;\N;PV;720;HRAYM;1;AT76;1;MHTG;2;MHLM;31/01/2018;31/01/2018;1441;31/01/2018;1441;31/01/2018;1441;31/01/2018;1441;140;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;486;HRAYM;1;AT76;0;MSLP;2;MHLM;31/01/2018;31/01/2018;2040;31/01/2018;2040;31/01/2018;2040;31/01/2018;2040;150;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;552;N305DQ;1;B737;1;MHTG;0;KATL;31/01/2018;31/01/2018;2025;31/01/2018;2025;31/01/2018;2107;31/01/2018;2107;410;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;1541;N54711;1;B737;1;MHTG;0;KIAH;31/01/2018;31/01/2018;1933;31/01/2018;1933;31/01/2018;2011;31/01/2018;2011;340;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;8;8;AEROLITORAL;SLI;675;;1;E190;2;MHLM;0;MMMX;31/01/2018;31/01/2018;2023;31/01/2018;2023;31/01/2018;2101;31/01/2018;2101;400;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;10;51;AEROREPUBLICA S.A.;RPB;562;HK4456;1;E190;0;MPTO;2;MHLM;31/01/2018;31/01/2018;1747;31/01/2018;1747;31/01/2018;1901;31/01/2018;1901;320;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;10;51;AEROREPUBLICA S.A.;RPB;563;HK4456;1;E190;2;MHLM;0;MPTO;31/01/2018;31/01/2018;2037;31/01/2018;2037;31/01/2018;2153;31/01/2018;2153;290;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;121;N975AN;1;B738;2;MHLM;0;KMIA;31/01/2018;31/01/2018;2131;31/01/2018;2131;31/01/2018;2224;31/01/2018;2224;380;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;1504;N9029F;1;A319;2;MHLM;0;KMIA;31/01/2018;31/01/2018;1950;31/01/2018;1950;31/01/2018;2044;31/01/2018;2044;380;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;941;N9029F;1;A319;0;KMIA;2;MHLM;31/01/2018;31/01/2018;1720;31/01/2018;1720;31/01/2018;1817;31/01/2018;1817;350;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;1531;N70020;1;A319;0;KMIA;1;MHTG;31/01/2018;31/01/2018;1848;31/01/2018;1848;31/01/2018;1955;31/01/2018;1955;370;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;120;N975AN;1;B738;0;KMIA;2;MHLM;31/01/2018;31/01/2018;1918;31/01/2018;1918;31/01/2018;2014;31/01/2018;2014;370;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;13;13;AMERIJET INTERNATIONAL;AJT;732;N316CM;1;B763;2;MHLM;0;MMMD;31/01/2018;31/01/2018;2113;31/01/2018;2113;31/01/2018;2139;31/01/2018;2139;380;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;15;15;AVIATECA;GUG;748;TGTRC;1;AT72;1;MHTG;0;MGGT;31/01/2018;31/01/2018;2220;31/01/2018;2220;31/01/2018;2220;31/01/2018;2220;180;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;17;17;COMPAÑÍA PANAMEÑA DE AVIACION ( COPA);CMP;144;HP1537;1;B738;5;MROC;1;MHTG;31/01/2018;31/01/2018;1606;31/01/2018;1606;31/01/2018;1653;31/01/2018;1653;370;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;17;17;COMPAÑÍA PANAMEÑA DE AVIACION ( COPA);CMP;425;HP1537;1;B738;1;MHTG;0;MPTO;31/01/2018;31/01/2018;1801;31/01/2018;1801;31/01/2018;1856;31/01/2018;1856;390;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;17;17;COMPAÑÍA PANAMEÑA DE AVIACION ( COPA);CMP;426;HP1521;1;B737;0;MPTO;1;MHTG;31/01/2018;31/01/2018;1731;31/01/2018;1731;31/01/2018;1827;31/01/2018;1827;360;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;64;65;CONDOR FLUGDIENST GMBH;CFG;OG;;1;DHC6;0;SEGU;4;MHRO;31/01/2018;31/01/2018;1704;31/01/2018;1704;31/01/2018;2115;31/01/2018;2115;120;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHRO;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;18;18;DELTA AIRLINES;DAL;575;N340NB;1;A319;0;KATL;2;MHLM;31/01/2018;31/01/2018;1746;31/01/2018;1746;31/01/2018;1817;31/01/2018;1817;300;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;18;18;DELTA AIRLINES;DAL;849;N305DQ;1;B737;0;KATL;1;MHTG;31/01/2018;31/01/2018;1731;31/01/2018;1731;31/01/2018;1831;31/01/2018;1831;390;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;19;19;DHL AEROEXPRESSO;DAE;5236;HP1910;1;B752;2;MHLM;0;KMIA;31/01/2018;31/01/2018;2027;31/01/2018;2027;31/01/2018;2118;31/01/2018;2118;350;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;21;21;GULF CARIBBEAN INC;TSU;7138;N371FL;1;CVLT;2;MHLM;0;KMIA;31/01/2018;31/01/2018;2337;31/01/2018;2337;01/02/2018;23;01/02/2018;23;250;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;1;NACIONAL;6;6;ISLEÑA DE INVERSIONES;ISV;722;HRAYM;1;AT76;2;MHLM;1;MHTG;31/01/2018;31/01/2018;1320;31/01/2018;1320;31/01/2018;1320;31/01/2018;1320;130;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;1;NACIONAL;6;6;ISLEÑA DE INVERSIONES;ISV;728;HRAYM;1;AT76;2;MHLM;4;MHRO;31/01/2018;31/01/2018;1650;31/01/2018;1650;31/01/2018;1650;31/01/2018;1650;130;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;6;6;ISLEÑA DE INVERSIONES;ISV;752;HRAYM;1;AT76;0;MGGT;2;MHLM;31/01/2018;31/01/2018;1135;31/01/2018;1135;31/01/2018;1220;31/01/2018;1220;210;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;6;6;ISLEÑA DE INVERSIONES;ISV;712;TGTRC;1;AT72;5;MROC;1;MHTG;31/01/2018;31/01/2018;2010;31/01/2018;2010;31/01/2018;2010;31/01/2018;2010;180;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;23;23;SPIRIT AIRLINES INC;NKS;826;N681NK;1;A321;2;MHLM;0;KFLL;31/01/2018;31/01/2018;810;31/01/2018;810;31/01/2018;903;31/01/2018;903;380;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;23;23;SPIRIT AIRLINES INC;NKS;829;N681NK;1;A321;0;KFLL;2;MHLM;31/01/2018;31/01/2018;537;31/01/2018;537;31/01/2018;631;31/01/2018;631;330;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;487;HRAYJ;1;AT76;2;MHLM;0;MSLP;31/01/2018;31/01/2018;1856;31/01/2018;1856;31/01/2018;1856;31/01/2018;1856;180;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;455;TGTRF;1;AT76;1;MHTG;0;MSLP;31/01/2018;31/01/2018;2305;31/01/2018;2305;31/01/2018;2305;31/01/2018;2305;160;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;537;N520TA;1;A319;2;MHLM;0;MSLP;31/01/2018;31/01/2018;2320;31/01/2018;2320;31/01/2018;2320;31/01/2018;2320;160;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;480;HRAYJ;1;AT76;1;MHTG;0;MSLP;31/01/2018;31/01/2018;1217;31/01/2018;1217;31/01/2018;1217;31/01/2018;1217;160;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;574;TGTRD;1;AT76;0;MSLP;2;MHLM;31/01/2018;31/01/2018;200;31/01/2018;200;31/01/2018;200;31/01/2018;200;150;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;481;HRAYJ;1;AT76;0;MSLP;1;MHTG;31/01/2018;31/01/2018;200;31/01/2018;200;31/01/2018;200;31/01/2018;200;150;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;575;TGTRD;1;AT76;2;MHLM;0;MSLP;31/01/2018;31/01/2018;1250;31/01/2018;1250;31/01/2018;1250;31/01/2018;1250;160;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;482;HRAYJ;1;AT76;0;MSLP;4;MHRO;31/01/2018;31/01/2018;1425;31/01/2018;1425;31/01/2018;1425;31/01/2018;1425;150;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHRO;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;483;HRAYM;1;AT76;4;MHRO;0;MSLP;31/01/2018;31/01/2018;1810;31/01/2018;1810;31/01/2018;1810;31/01/2018;1810;140;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHRO;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;569;TGTRF;1;AT76;1;MHTG;0;MSLP;31/01/2018;31/01/2018;1755;31/01/2018;1755;31/01/2018;1755;31/01/2018;1755;180;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;454;TGTRF;1;AT76;0;MSLP;1;MHTG;31/01/2018;31/01/2018;1425;31/01/2018;1425;31/01/2018;1425;31/01/2018;1425;170;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;536;N520TA;1;A319;2;MHLM;0;KMIA;31/01/2018;31/01/2018;1643;31/01/2018;1643;31/01/2018;1735;31/01/2018;1735;360;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;24;24;TACA INTERNATIONAL AIRLINES;TAI;536;N520TA;1;A319;0;MSLP;2;MHLM;31/01/2018;31/01/2018;1426;31/01/2018;1426;31/01/2018;1426;31/01/2018;1426;170;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;27;27;UNITED AIRLINES;UAL;1487;N33266;1;B738;0;KIAH;2;MHLM;31/01/2018;31/01/2018;1746;31/01/2018;1746;31/01/2018;1816;31/01/2018;1816;370;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;27;27;UNITED AIRLINES;UAL;1435;N38257;1;B738;4;MHRO;0;KIAH;31/01/2018;31/01/2018;2004;31/01/2018;2004;31/01/2018;2030;31/01/2018;2030;340;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHRO;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;27;27;UNITED AIRLINES;UAL;1540;N54711;1;B737;0;KIAH;1;MHTG;31/01/2018;31/01/2018;1726;31/01/2018;1726;31/01/2018;1807;31/01/2018;1807;390;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;28;28;UNITED PARCEL SERVICES (UPS);UPS;379;N465UP;1;B752;2;MHLM;0;KMIA;31/01/2018;31/01/2018;2332;31/01/2018;2332;01/02/2018;24;01/02/2018;24;350;0;0;SYSADM;31/01/2018;31/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;455;TGTRF;1;AT76;1;MHTG;0;MSLP;30/01/2018;30/01/2018;2305;30/01/2018;2305;30/01/2018;2305;30/01/2018;2305;160;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;575;N355NB;1;A319;0;KATL;2;MHLM;30/01/2018;30/01/2018;1744;30/01/2018;1744;30/01/2018;1814;30/01/2018;1814;350;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;378;N461UP;1;B752;0;KMIA;2;MHLM;30/01/2018;30/01/2018;1535;30/01/2018;1535;30/01/2018;1605;30/01/2018;1605;320;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;1488;N76503;1;B738;2;MHLM;0;KIAH;30/01/2018;30/01/2018;1950;30/01/2018;1950;30/01/2018;2017;30/01/2018;2017;340;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;480;HRAYJ;1;AT76;1;MHTG;0;MSLP;30/01/2018;30/01/2018;::;30/01/2018;::;\N;\N;\N;\N;\N;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;722;N316CM;1;B763;2;MHLM;0;KMIA;30/01/2018;30/01/2018;2245;30/01/2018;2245;30/01/2018;2313;30/01/2018;2313;390;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;722;N316CM;1;B763;0;MSLP;2;MHLM;30/01/2018;30/01/2018;2054;30/01/2018;2054;30/01/2018;2127;30/01/2018;2127;210;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;575;TGTRF;1;AT76;2;MHLM;0;MSLP;30/01/2018;30/01/2018;1235;30/01/2018;1235;30/01/2018;1235;30/01/2018;1235;160;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;145;HP1520;1;B737;1;MHTG;5;MROC;30/01/2018;30/01/2018;1921;30/01/2018;1921;30/01/2018;2010;30/01/2018;2010;350;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;483;HRAYM;1;AT76;4;MHRO;0;MSLP;30/01/2018;30/01/2018;1810;30/01/2018;1810;30/01/2018;1810;30/01/2018;1810;160;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHRO;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;763;CGTVN;1;B738;4;MHRO;0;CYYZ;30/01/2018;30/01/2018;26;30/01/2018;26;30/01/2018;51;30/01/2018;51;370;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHRO;\N;\N;\N;\N;0
1;PRIVADO;1;NACIONAL;\N;\N;\N;PV;720;HRAYM;1;AT76;1;MHTG;2;MHLM;30/01/2018;30/01/2018;1441;30/01/2018;1441;30/01/2018;1441;30/01/2018;1441;140;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;748;TGTRD;1;AT76;1;MHTG;0;MGGT;30/01/2018;30/01/2018;2220;30/01/2018;2220;30/01/2018;2220;30/01/2018;2220;180;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;454;TGTRE;1;AT76;0;MSLP;1;MHTG;30/01/2018;30/01/2018;1425;30/01/2018;1425;30/01/2018;1425;30/01/2018;1425;150;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;536;N524TA;1;A319;0;MSLP;2;MHLM;30/01/2018;30/01/2018;1426;30/01/2018;1426;30/01/2018;1426;30/01/2018;1426;170;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;7138;N351FL;1;CVLT;2;MHLM;0;KMIA;30/01/2018;30/01/2018;2253;30/01/2018;2253;30/01/2018;2338;30/01/2018;2338;230;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;8;8;AEROLITORAL;SLI;674;XAGAW;1;E190;0;MMMX;2;MHLM;30/01/2018;30/01/2018;1637;30/01/2018;1637;30/01/2018;1719;30/01/2018;1719;390;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;8;8;AEROLITORAL;SLI;675;XAGAW;1;E190;2;MHLM;0;MMMX;30/01/2018;30/01/2018;1848;30/01/2018;1848;30/01/2018;1926;30/01/2018;1926;400;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;10;51;AEROREPUBLICA S.A.;RPB;562;HP1563;1;E190;0;MPTO;2;MHLM;30/01/2018;30/01/2018;1741;30/01/2018;1741;30/01/2018;1850;30/01/2018;1850;360;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;10;51;AEROREPUBLICA S.A.;RPB;563;HP1563;1;E190;2;MHLM;0;MPTO;30/01/2018;30/01/2018;2021;30/01/2018;2021;30/01/2018;2131;30/01/2018;2131;350;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;121;N879NN;1;B738;2;MHLM;0;KMIA;30/01/2018;30/01/2018;2131;30/01/2018;2131;30/01/2018;2224;30/01/2018;2224;380;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;1504;N93003;1;A319;2;MHLM;0;KMIA;30/01/2018;30/01/2018;1951;30/01/2018;1951;30/01/2018;2045;30/01/2018;2045;380;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;941;N93003;1;A319;0;KMIA;2;MHLM;30/01/2018;30/01/2018;1734;30/01/2018;1734;30/01/2018;1830;30/01/2018;1830;370;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHLM;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;1531;N4032T;1;A319;0;KMIA;1;MHTG;30/01/2018;30/01/2018;1852;30/01/2018;1852;30/01/2018;1953;30/01/2018;1953;370;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
3;COMERCIAL;2;INTERNACIONAL;12;12;AMERICAN AIRLINES;AAL;1531;N4032T;1;A319;1;MHTG;0;KMIA;30/01/2018;30/01/2018;2117;30/01/2018;2117;30/01/2018;2217;30/01/2018;2217;390;0;0;SYSADM;30/01/2018;30/01/2018 00:00;MHTG;\N;\N;\N;\N;0
